Player,Pos,Age,Tm,G,TRB,AST,STL,BLK,TOV,PTS,ALL-STAR
Andre Drummond\drumman01,C,26,TOT,57,15.2,2.7,1.9,1.6,3.6,17.7,0
Andre Drummond\drumman01,C,26,DET,49,15.8,2.8,2,1.7,3.6,17.8,0
Andre Drummond\drumman01,C,26,CLE,8,11.1,1.8,1.5,1.4,3.6,17.5,0
Jared Dudley\dudleja01,PF,34,LAL,45,1.2,0.6,0.3,0.1,0.2,1.5,0
Kris Dunn\dunnkr01,PG,25,CHI,51,3.6,3.4,2,0.3,1.3,7.3,0
Carsen Edwards\edwarca01,SG,21,BOS,37,1.3,0.6,0.3,0.1,0.4,3.3,0
Henry Ellenson\ellenhe01,C,23,BRK,5,1.2,0.2,0,0,0,0.4,0
Wayne Ellington\ellinwa01,SG,32,NYK,36,1.8,1.2,0.4,0.1,0.5,5.1,0
Joel Embiid\embiijo01,C,25,PHI,51,11.6,3,0.9,1.3,3.1,23,1
James Ennis\ennisja01,SF-SG,29,TOT,69,3.6,0.9,0.5,0.3,0.8,6.6,0
James Ennis\ennisja01,SF,29,PHI,49,3.1,0.8,0.5,0.3,0.6,5.8,0
James Ennis\ennisja01,SG,29,ORL,20,4.8,1.1,0.6,0.4,1.4,8.5,0
Drew Eubanks\eubandr01,C,22,SAS,22,3.9,0.7,0.2,0.8,1,4.9,0
Jacob Evans\evansja02,SG,22,TOT,29,1.4,1.1,0.4,0.4,0.9,4.4,0
Jacob Evans\evansja02,SG,22,GSW,27,1.5,1.1,0.4,0.4,0.9,4.7,0
Jacob Evans\evansja02,SG,22,MIN,2,0,0,0,0,0,0,0
Dante Exum\exumda01,SG,24,TOT,35,1.9,1.1,0.4,0.2,0.9,4.5,0
Dante Exum\exumda01,SG,24,UTA,11,1.1,0.6,0.1,0.2,0.9,2.2,0
Dante Exum\exumda01,SG,24,CLE,24,2.3,1.4,0.5,0.3,0.9,5.6,0
Tacko Fall\fallta01,C,24,BOS,7,2.1,0.1,0.1,0.6,0.4,3.3,0
Derrick Favors\favorde01,C,28,NOP,51,9.8,1.6,0.6,0.9,1.1,9,0
Cristiano Felício\feliccr01,C,27,CHI,22,4.6,0.7,0.5,0.1,0.8,3.9,0
Terrance Ferguson\fergute01,SF,21,OKC,56,1.3,0.9,0.5,0.3,0.6,3.9,0
Bruno Fernando\fernabr01,C,21,ATL,56,3.5,0.9,0.3,0.3,0.8,4.3,0
Yogi Ferrell\ferreyo01,PG,26,SAC,50,1,1.4,0.4,0.1,0.6,4.4,0
Dorian Finney-Smith\finnedo01,PF,26,DAL,71,5.7,1.6,0.6,0.5,1,9.5,0
Bryn Forbes\forbebr01,SG,26,SAS,63,2,1.7,0.5,0,0.9,11.2,0
Evan Fournier\fournev01,SF,27,ORL,66,2.6,3.2,1.1,0.2,1.9,18.5,0
De'Aaron Fox\foxde01,PG,22,SAC,51,3.8,6.8,1.5,0.5,3.1,21.1,0
Melvin Frazier\frazime01,SG,23,ORL,19,0.5,0.2,0.5,0.1,0.3,2.1,0
Michael Frazier\frazimi01,SG,25,HOU,13,0.8,0.2,0.2,0,0.4,2.1,0
Tim Frazier\fraziti01,PG,29,DET,27,1.2,3.4,0.5,0.1,1.3,3.6,0
Markelle Fultz\fultzma01,PG,21,ORL,72,3.3,5.1,1.3,0.2,2,12.1,0
Wenyen Gabriel\gabriwe01,PF,22,TOT,30,1.7,0.3,0.4,0.2,0.5,2.1,0
Wenyen Gabriel\gabriwe01,PF,22,SAC,11,0.9,0.3,0.3,0.2,0.5,1.7,0
Wenyen Gabriel\gabriwe01,PF,22,POR,19,2.2,0.3,0.4,0.3,0.6,2.3,0
Daniel Gafford\gaffoda01,C,21,CHI,43,2.5,0.5,0.3,1.3,0.7,5.1,0
Danilo Gallinari\gallida01,PF,31,OKC,62,5.2,1.9,0.7,0.1,1.2,18.7,0
Langston Galloway\gallola01,SG,28,DET,66,2.3,1.5,0.7,0.2,0.6,10.3,0
Darius Garland\garlada01,SG,20,CLE,59,1.9,3.9,0.7,0.1,2.6,12.3,0
Marc Gasol\gasolma01,C,35,TOR,44,6.3,3.3,0.8,0.9,1.3,7.5,0
Rudy Gay\gayru01,PF,33,SAS,67,5.4,1.7,0.5,0.5,1.3,10.8,0
Paul George\georgpa01,SG,29,LAC,48,5.7,3.9,1.4,0.4,2.6,21.5,0
Taj Gibson\gibsota01,C,34,NYK,62,4.3,0.8,0.4,0.5,0.8,6.1,0
Harry Giles\gilesha01,C,21,SAC,46,4.1,1.3,0.5,0.4,1,6.9,0
Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,70,5.9,3.3,1.1,0.7,1.9,19,0
Rudy Gobert\goberru01,C,27,UTA,68,13.5,1.5,0.8,2,1.9,15.1,1
Brandon Goodwin\goodwbr01,PG,24,ATL,34,2.1,1.5,0.4,0.1,0.9,6.1,0
Aaron Gordon\gordoaa01,PF,24,ORL,62,7.7,3.7,0.8,0.6,1.6,14.4,0
Eric Gordon\gordoer01,SF,31,HOU,36,2,1.5,0.6,0.4,1.2,14.4,0
Devonte' Graham\grahade01,PG,24,CHO,63,3.4,7.5,1,0.2,2.9,18.2,0
Treveon Graham\grahatr01,SF,26,TOT,55,2.7,0.8,0.4,0.1,0.5,4.4,0
Treveon Graham\grahatr01,SF,26,MIN,33,3,0.9,0.5,0.1,0.6,5.2,0
Treveon Graham\grahatr01,SF,26,ATL,22,2.3,0.7,0.3,0.2,0.5,3.3,0
Jerami Grant\grantje01,PF,25,DEN,71,3.5,1.2,0.7,0.8,0.9,12,0
Jerian Grant\grantje02,SG,27,WAS,6,1,1.5,0.2,0.2,0.5,4.5,0
Josh Gray\grayjo01,PG,26,NOP,2,1,1,0,0,2.5,1,0
Danny Green\greenda02,SG,32,LAL,68,3.3,1.3,1.3,0.5,0.9,8,0
Draymond Green\greendr01,PF,29,GSW,43,6.2,6.2,1.4,0.8,2.3,8,0
JaMychal Green\greenja01,PF,29,LAC,63,6.2,0.8,0.5,0.4,0.9,6.8,0
Javonte Green\greenja02,SG,26,BOS,48,1.9,0.5,0.5,0.2,0.5,3.4,0
Jeff Green\greenje02,PF-C,33,TOT,48,2.8,1,0.5,0.4,0.9,9.4,0
Jeff Green\greenje02,PF,33,UTA,30,2.7,0.7,0.4,0.3,0.9,7.8,0
Jeff Green\greenje02,C,33,HOU,18,2.9,1.7,0.8,0.5,0.8,12.2,0
Blake Griffin\griffbl01,PF,30,DET,18,4.7,3.3,0.4,0.4,2.2,15.5,0
Marko Guduric\gudurma01,SG,24,MEM,44,1.7,1,0.3,0.2,0.8,3.9,0
Kyle Guy\guyky01,SG,22,SAC,3,0.3,0.3,0,0,0,1.3,0
Rui Hachimura\hachiru01,PF,21,WAS,48,6.1,1.8,0.8,0.2,1.1,13.5,0
Devon Hall\hallde01,PG,24,OKC,11,0.6,1.2,0.4,0.1,0.5,1.8,0
Donta Hall\halldo01,C-PF,22,TOT,9,4.2,0.4,0.3,0.7,0.6,4.3,0
Donta Hall\halldo01,PF,22,DET,4,3.8,0.5,0.3,0.3,0.5,1.5,0
Donta Hall\halldo01,C,22,BRK,5,4.6,0.4,0.4,1,0.6,6.6,0
Dusty Hannahs\hannadu01,SG,26,MEM,2,0.5,0,0,0,0,6,0
Tim Hardaway Jr.\hardati02,SG,27,DAL,71,3.3,1.9,0.6,0.1,1,15.8,0
James Harden\hardeja01,SG,30,HOU,68,6.6,7.5,1.8,0.9,4.5,34.3,1
Maurice Harkless\harklma01,PF-SF,26,TOT,62,3.9,1.1,0.9,0.5,0.9,5.8,0
Maurice Harkless\harklma01,PF,26,LAC,50,4,1,1,0.6,0.9,5.5,0
Maurice Harkless\harklma01,SF,26,NYK,12,3.3,1.7,0.8,0.3,0.6,6.8,0
Jared Harper\harpeja01,PG,22,PHO,3,0,0,0,0,0,0.7,0
Montrezl Harrell\harremo01,C,26,LAC,63,7.1,1.7,0.6,1.1,1.7,18.6,0
Gary Harris\harriga01,SG,25,DEN,56,2.9,2.1,1.4,0.3,1.1,10.4,0
Joe Harris\harrijo01,SF,28,BRK,69,4.3,2.1,0.6,0.2,1.5,14.5,0
Tobias Harris\harrito02,PF,27,PHI,72,6.9,3.2,0.7,0.6,1.4,19.6,0
Shaquille Harrison\harrish01,SG,26,CHI,43,2,1.1,0.8,0.4,0.4,4.9,0
Josh Hart\hartjo01,SF,24,NOP,65,6.5,1.7,1,0.4,1.2,10.1,0
Isaiah Hartenstein\harteis01,C,21,HOU,23,3.9,0.8,0.4,0.5,0.7,4.7,0
Udonis Haslem\hasleud01,C,39,MIA,4,4,0.3,0,0,0.3,3,0
Jaxson Hayes\hayesja02,C,19,NOP,64,4,0.9,0.4,0.9,0.8,7.4,0
Gordon Hayward\haywago01,SF,29,BOS,52,6.7,4.1,0.7,0.4,1.8,17.5,0
John Henson\hensojo01,C,29,TOT,40,4.1,1.4,0.6,1.1,0.9,5.5,0
John Henson\hensojo01,C,29,CLE,29,3.9,1.5,0.6,1.1,0.7,5,0
John Henson\hensojo01,C,29,DET,11,4.4,1,0.7,0.9,1.4,6.9,0
